trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3544,False,"{'a': 0.001, 'e': 0.02892641753046022}",20,6,30.141314219597426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3545,False,"{'a': 0.001, 'e': 0.028897505571318663}",20,9,19.26627081028409,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3546,False,"{'a': 0.001, 'e': 0.028868622509685086}",25,14,22.72377174483199,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3547,False,"{'a': 0.001, 'e': 0.028839768316676413}",25,17,15.169370140969272,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3548,False,"{'a': 0.001, 'e': 0.02881094296343847}",20,8,12.785309238386787,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
3549,False,"{'a': 0.001, 'e': 0.02878214642114589}",25,16,16.128281008625894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3550,False,"{'a': 0.001, 'e': 0.028753378661002135}",20,10,20.391133331012092,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3551,False,"{'a': 0.001, 'e': 0.028724639654239423}",20,12,15.564202868613787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3552,False,"{'a': 0.001, 'e': 0.02869592937211877}",25,19,12.167509706185623,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3553,False,"{'a': 0.001, 'e': 0.02866724778592988}",25,17,12.997481181384307,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3554,False,"{'a': 0.001, 'e': 0.028638594866991166}",30,24,10.628807075333286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3555,False,"{'a': 0.001, 'e': 0.028609970586649693}",20,7,29.373229065856446,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3556,False,"{'a': 0.001, 'e': 0.028581374916281203}",25,5,33.974123071061015,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3557,False,"{'a': 0.001, 'e': 0.02855280782729001}",20,14,10.484766134511295,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3558,False,"{'a': 0.001, 'e': 0.028524269291109027}",25,11,23.106085048628838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3559,False,"{'a': 0.001, 'e': 0.028495759279199697}",20,8,21.63324584000476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3560,False,"{'a': 0.001, 'e': 0.028467277763052034}",35,20,29.53303674652819,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3561,False,"{'a': 0.001, 'e': 0.028438824714184505}",20,6,29.036577601860863,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3562,False,"{'a': 0.001, 'e': 0.02841040010414406}",20,14,9.663252605644313,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3563,False,"{'a': 0.001, 'e': 0.028382003904506077}",20,0,32.61679207870446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
